"1a. Share/Unit acquired (On or before/ after 31st Jan 2018)","2. ISIN Code","3. Name of the Share/Unit","4. No. of Shares/Units","5. Sale-price per Share/Unit","6. Full Value of Consideration If shares/units are acquired on or before 31st January, 2018 (Total Sale Value) (4*5) or  If  shares/units are acquired after 31st January, 2018 - Please enter Full Value of Consideration","7. Cost of acquisition without indexation (higher of 8 or 9 )","8. Cost of acquisition","9. If the long term capital asset was acquired before 01.02.2018, Lower of 6 & 11","10. Fair Market Value per share/unit as on 31st January,2018","11. Total Fair Market Value as on 31st January, 2018 of capital asset as per section 55(2)(ac)- (4*10)","12. Expenditure wholly and exclusively in connection with transfer","13. Total deductions (7+12)","14. Balance (6 − 13) -Item 4 (a) of LTCG Schedule of ITR3"
"After 31st January, 2018","INE095N01031","NBCC (INDIA) LIMITED","11","118.03","1298.33","830.5","830.5","0","0","0","0","830.5","467.83"
"After 31st January, 2018","INE095N01031","NBCC (INDIA) LIMITED","11","118.03","1298.33","944.9","944.9","0","0","0","0","944.9","353.43"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","1","1289.9","1289.9","1385.2","1385.2","0","0","0","0","1385.2","-95.3"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","1","1289.9","1289.9","1409.55","1409.55","0","0","0","0","1409.55","-119.65"
"After 31st January, 2018","INE140A01024","PIRAMAL ENTERPRISES LTD","1","1097.4","1097.4","892.15","892.15","0","0","0","0","892.15","205.25"
"After 31st January, 2018","INE726V01018","PRICOL LIMITED","2","434.05","868.1","840.0","840.0","0","0","0","0","840.0","28.1"
"After 31st January, 2018","INE062A01020","STATE BANK OF INDIA","2","784.8","1569.6","1537.6","1537.6","0","0","0","0","1537.6","32.0"
"After 31st January, 2018","INE982J01020","ONE 97 COMMUNICATIONS LTD","2","871.47","1742.94","778.4","778.4","0","0","0","0","778.4","964.54"
"After 31st January, 2018","INE982J01020","ONE 97 COMMUNICATIONS LTD","3","1006.5","3019.5","1167.6","1167.6","0","0","0","0","1167.6","1851.9"
"After 31st January, 2018","INE062A01020","STATE BANK OF INDIA","7","823.05","5761.35","5381.6","5381.6","0","0","0","0","5381.6","379.75"
"After 31st January, 2018","INE726V01018","PRICOL LIMITED","3","672.1","2016.3","1260.0","1260.0","0","0","0","0","1260.0","756.3"
"After 31st January, 2018","INE134E01011","POWER FIN CORP LTD.","4","396.7","1586.8","1612.4","1612.4","0","0","0","0","1612.4","-25.6"
"After 31st January, 2018","INE095N01031","NBCC (INDIA) LIMITED","15","118.03","1770.45","2008.5","2008.5","0","0","0","0","2008.5","-238.05"
"After 31st January, 2018","INE140A01024","PIRAMAL ENTERPRISES LTD","1","1097.4","1097.4","879.0","879.0","0","0","0","0","879.0","218.4"
"After 31st January, 2018","INE752E01010","POWER GRID CORP. LTD.","7","285.85","2000.95","2032.1","2032.1","0","0","0","0","2032.1","-31.15"
"After 31st January, 2018","INE752E01010","POWER GRID CORP. LTD.","4","270.3","1081.2","1161.2","1161.2","0","0","0","0","1161.2","-80.0"
"After 31st January, 2018","INE752E01010","POWER GRID CORP. LTD.","8","293.45","2347.6","2322.4","2322.4","0","0","0","0","2322.4","25.2"
"After 31st January, 2018","INE140A01024","PIRAMAL ENTERPRISES LTD","1","1097.4","1097.4","821.6","821.6","0","0","0","0","821.6","275.8"
"After 31st January, 2018","INE982J01020","ONE 97 COMMUNICATIONS LTD","6","1006.5","6039.0","2083.8","2083.8","0","0","0","0","2083.8","3955.2"
"After 31st January, 2018","INE982J01020","ONE 97 COMMUNICATIONS LTD","1","1006.5","1006.5","357.4","357.4","0","0","0","0","357.4","649.1"
"After 31st January, 2018","INE062A01020","STATE BANK OF INDIA","1","823.05","823.05","773.05","773.05","0","0","0","0","773.05","50.0"
"After 31st January, 2018","INE140A01024","PIRAMAL ENTERPRISES LTD","2","1302.2","2604.4","1536.2","1536.2","0","0","0","0","1536.2","1068.2"
"After 31st January, 2018","INE202B01038","PIRAMAL FINANCE LIMITED","3","1713.6","5140.8","2304.3","2304.3","0","0","0","0","2304.3","2836.5"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","3","755.06","2265.18","2228.7","2228.7","0","0","0","0","2228.7","36.48"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","3","893.0","2679.0","4191.75","4191.75","0","0","0","0","4191.75","-1512.75"
"After 31st January, 2018","INE883F01010","AADHAR HOUSING FINANCE L","20","515.0","10300.0","8106.0","8106.0","0","0","0","0","8106.0","2194.0"
"After 31st January, 2018","INE018A01030","LARSEN & TOUBRO LTD.","1","3657.5","3657.5","3630.45","3630.45","0","0","0","0","3630.45","27.05"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","1","401.56","401.56","299.2","299.2","0","0","0","0","299.2","102.36"
"After 31st January, 2018","INE092T01019","IDFC FIRST BANK LIMITED","11","85.98","945.78","796.62","796.62","0","0","0","0","796.62","149.16"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","755.06","755.06","796.65","796.65","0","0","0","0","796.65","-41.59"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","1","893.0","893.0","1327.4","1327.4","0","0","0","0","1327.4","-434.4"
"After 31st January, 2018","INE486A01021","CESC LTD","29","156.07","4526.03","5822.62","5822.62","0","0","0","0","5822.62","-1296.59"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","2","401.56","803.12","586.3","586.3","0","0","0","0","586.3","216.82"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","3","893.0","2679.0","3742.8","3742.8","0","0","0","0","3742.8","-1063.8"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","2","401.56","803.12","539.7","539.7","0","0","0","0","539.7","263.42"
"After 31st January, 2018","INE062A01020","STATE BANK OF INDIA","1","1176.7","1176.7","859.45","859.45","0","0","0","0","859.45","317.25"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","755.06","755.06","946.8","946.8","0","0","0","0","946.8","-191.74"
"After 31st January, 2018","INE263A01024","BHARAT ELECTRONICS LTD","2","401.56","803.12","587.7","587.7","0","0","0","0","587.7","215.42"
"After 31st January, 2018","INE427F01016","CHALET HOTELS LIMITED","1","755.06","755.06","717.3","717.3","0","0","0","0","717.3","37.76"
"After 31st January, 2018","INE340A01012","BIRLA CORPORATION LTD","1","893.0","893.0","1008.9","1008.9","0","0","0","0","1008.9","-115.9"
